CONTENT,CLASS,content_lower,content_lower_rn,remove_numbers,content_tokenized,normalized,content_stopwords,content_lemma
"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",1,"yo i know nobody will probably even read this..  but, imma type it any way because i hope at least one person will  i&#39;m a rapper with a dream. i know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  i would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;thumbs up&quot; other people will see it  just a simple button press? could make my dream come true =) thank you",yo i know nobody will probably even read this but imma type it any way because i hope at least one person will im a rapper with a dream i know theres like of those in this world but please check out my music and subscribe if you want thanks i would love nothing more than to have a decent following on youtube if anyone reading this could press the thumbs up other people will see it just a simple button press could make my dream come true thank you,yo i know nobody will probably even read this but imma type it any way because i hope at least one person will im a rapper with a dream i know theres like of those in this world but please check out my music and subscribe if you want thanks i would love nothing more than to have a decent following on youtube if anyone reading this could press the thumbs up other people will see it just a simple button press could make my dream come true thank you,"['yo', 'i', 'know', 'nobody', 'will', 'probably', 'even', 'read', 'this', 'but', 'imma', 'type', 'it', 'any', 'way', 'because', 'i', 'hope', 'at', 'least', 'one', 'person', 'will', 'im', 'a', 'rapper', 'with', 'a', 'dream', 'i', 'know', 'theres', 'like', 'of', 'those', 'in', 'this', 'world', 'but', 'please', 'check', 'out', 'my', 'music', 'and', 'subscribe', 'if', 'you', 'want', 'thanks', 'i', 'would', 'love', 'nothing', 'more', 'than', 'to', 'have', 'a', 'decent', 'following', 'on', 'youtube', 'if', 'anyone', 'reading', 'this', 'could', 'press', 'the', 'thumbs', 'up', 'other', 'people', 'will', 'see', 'it', 'just', 'a', 'simple', 'button', 'press', 'could', 'make', 'my', 'dream', 'come', 'true', 'thank', 'you']","['yo', 'i', 'know', 'nobody', 'will', 'probably', 'even', 'read', 'this', 'but', 'imma', 'type', 'it', 'any', 'way', 'because', 'i', 'hope', 'at', 'least', 'one', 'person', 'will', 'im', 'a', 'rapper', 'with', 'a', 'dream', 'i', 'know', 'theres', 'like', 'of', 'those', 'in', 'this', 'world', 'but', 'please', 'check', 'out', 'my', 'music', 'and', 'subscribe', 'if', 'you', 'want', 'thanks', 'i', 'would', 'love', 'nothing', 'more', 'than', 'to', 'have', 'a', 'decent', 'following', 'on', 'youtube', 'if', 'anyone', 'reading', 'this', 'could', 'press', 'the', 'thumbs', 'up', 'other', 'people', 'will', 'see', 'it', 'just', 'a', 'simple', 'button', 'press', 'could', 'make', 'my', 'dream', 'come', 'true', 'thank', 'you']","['yo', 'probably', 'read', 'imma', 'type', 'hope', 'rapper', 'dream', 'theres', 'like', 'world', 'check', 'music', 'subscribe', 'want', 'thanks', 'love', 'decent', 'following', 'youtube', 'anyone', 'reading', 'press', 'thumbs', 'simple', 'button', 'press', 'dream', 'true', 'thank']","['yo', 'probably', 'read', 'imma', 'type', 'hope', 'rapper', 'dream', 'there', 'like', 'world', 'check', 'music', 'subscribe', 'want', 'thanks', 'love', 'decent', 'follow', 'youtube', 'anyone', 'reading', 'press', 'thumbs', 'simple', 'button', 'press', 'dream', 'true', 'thank']"
"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters.",1,"youtube.com/watch?v=2asfn9shghk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters.",url please check out my song looking for feedback and supporters,url please check out my song looking for feedback and supporters,"['url', 'please', 'check', 'out', 'my', 'song', 'looking', 'for', 'feedback', 'and', 'supporters']","['url', 'please', 'check', 'out', 'my', 'song', 'looking', 'for', 'feedback', 'and', 'supporters']","['url', 'check', 'song', 'looking', 'feedback', 'supporters']","['url', 'check', 'song', 'look', 'feedback', 'supporter']"
WATCH MY VIDEOS AND SUBSCRIBE,1,watch my videos and subscribe,watch my videos and subscribe,watch my videos and subscribe,"['watch', 'my', 'videos', 'and', 'subscribe']","['watch', 'my', 'videos', 'and', 'subscribe']","['watch', 'videos', 'subscribe']","['watch', 'video', 'subscribe']"
:D subscribe to me for daily vines,1,:d subscribe to me for daily vines,subscribe to me for daily vines,subscribe to me for daily vines,"['subscribe', 'to', 'me', 'for', 'daily', 'vines']","['subscribe', 'to', 'me', 'for', 'daily', 'vines']","['subscribe', 'daily', 'vines']","['subscribe', 'daily', 'vine']"
LOVE IT!!!!!!!ï»¿,0,love it!!!!!!!ï»¿,love it,love it,"['love', 'it']","['love', 'it']",['love'],['love']
Hay dakota u earned a subscribee,1,hay dakota u earned a subscribee,hay dakota u earned a subscribee,hay dakota u earned a subscribee,"['hay', 'dakota', 'u', 'earned', 'a', 'subscribee']","['hay', 'dakota', 'you', 'earned', 'a', 'subscribee']","['hay', 'dakota', 'earned', 'subscribee']","['hay', 'dakota', 'earn', 'subscribee']"
"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace.",1,"listen...check out andrew guasch - crazy, sick flow...i&#39;m dope....that&#39;s all there is too it. if you like it subscribe, if not, ill be with aftermath of tde soon enough.  one love,  peace.",listencheck out andrew guasch crazy sick flowim dopethats all there is too it if you like it subscribe if not ill be with aftermath of tde soon enough one love peace,listencheck out andrew guasch crazy sick flowim dopethats all there is too it if you like it subscribe if not ill be with aftermath of tde soon enough one love peace,"['listencheck', 'out', 'andrew', 'guasch', 'crazy', 'sick', 'flowim', 'dopethats', 'all', 'there', 'is', 'too', 'it', 'if', 'you', 'like', 'it', 'subscribe', 'if', 'not', 'ill', 'be', 'with', 'aftermath', 'of', 'tde', 'soon', 'enough', 'one', 'love', 'peace']","['listencheck', 'out', 'andrew', 'guasch', 'crazy', 'sick', 'flowim', 'dopethats', 'all', 'there', 'is', 'too', 'it', 'if', 'you', 'like', 'it', 'subscribe', 'if', 'not', 'ill', 'be', 'with', 'aftermath', 'of', 'tde', 'soon', 'enough', 'one', 'love', 'peace']","['listencheck', 'andrew', 'guasch', 'crazy', 'sick', 'flowim', 'dopethats', 'like', 'subscribe', 'ill', 'aftermath', 'tde', 'soon', 'love', 'peace']","['listencheck', 'andrew', 'guasch', 'crazy', 'sick', 'flowim', 'dopethats', 'like', 'subscribe', 'ill', 'aftermath', 'tde', 'soon', 'love', 'peace']"
Check Out The New Hot Video By Dante B Called Riled Up,1,check out the new hot video by dante b called riled up,check out the new hot video by dante b called riled up,check out the new hot video by dante b called riled up,"['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'b', 'called', 'riled', 'up']","['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'b', 'called', 'riled', 'up']","['check', 'new', 'hot', 'video', 'dante', 'b', 'called', 'riled']","['check', 'new', 'hot', 'video', 'dante', 'b', 'call', 'rile']"
I hate rap and I like this songï»¿,0,i hate rap and i like this songï»¿,i hate rap and i like this song,i hate rap and i like this song,"['i', 'hate', 'rap', 'and', 'i', 'like', 'this', 'song']","['i', 'hate', 'rap', 'and', 'i', 'like', 'this', 'song']","['hate', 'rap', 'like', 'song']","['hate', 'rap', 'like', 'song']"
Love the way you lie - Driveshaftï»¿,0,love the way you lie - driveshaftï»¿,love the way you lie driveshaft,love the way you lie driveshaft,"['love', 'the', 'way', 'you', 'lie', 'driveshaft']","['love', 'the', 'way', 'you', 'lie', 'driveshaft']","['love', 'lie', 'driveshaft']","['love', 'lie', 'driveshaft']"
2010:(ï»¿,0,2010:(ï»¿,,,[],[],[],[]
"1,000,000 VIEWS NEARï»¿",0,"1,000,000 views nearï»¿",views near,views near,"['views', 'near']","['views', 'near']","['views', 'near']","['view', 'near']"
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent",1,"you guys should check out this extraordinary website called firepa.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at firepa.com !   visit firepa.com and check it out!   lake   . chillpal . sturdy . astauand . johackle . chorenn . ethosien . changeable . public . noxu . ploosnar . looplab . hoppler . delicious . false . scitenoa . locobot . heartbreaking . thirsty . reminiscent",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'chillpal', 'sturdy', 'astauand', 'johackle', 'chorenn', 'ethosien', 'changeable', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delicious', 'false', 'scitenoa', 'locobot', 'heartbreaking', 'thirsty', 'reminiscent']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'chillpal', 'sturdy', 'astauand', 'johackle', 'chorenn', 'ethosien', 'changeable', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delicious', 'false', 'scitenoa', 'locobot', 'heartbreaking', 'thirsty', 'reminiscent']","['check', 'extraordinary', 'website', 'called', 'url', 'money', 'online', 'start', 'working', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'chillpal', 'sturdy', 'astauand', 'johackle', 'chorenn', 'ethosien', 'changeable', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delicious', 'false', 'scitenoa', 'locobot', 'heartbreaking', 'thirsty', 'reminiscent']","['check', 'extraordinary', 'website', 'call', 'url', 'money', 'online', 'start', 'work', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'chillpal', 'sturdy', 'astauand', 'johackle', 'chorenn', 'ethosien', 'changeable', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delicious', 'false', 'scitenoa', 'locobot', 'heartbreaking', 'thirsty', 'reminiscent']"
this song is NICEï»¿,0,this song is niceï»¿,this song is nice,this song is nice,"['this', 'song', 'is', 'nice']","['this', 'song', 'is', 'nice']","['song', 'nice']","['song', 'nice']"
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile",1,"you guys should check out this extraordinary website called firepa.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at firepa.com !   visit firepa.com and check it out!   lake   . busyglide . sasaroo . sore . chillpal . axiomatic . naperone . mere . undesirable . agreeable . encouraging . imperfect . roasted . insidious . modgone . quickest . trelod . keen . fresh . economic . bocilile",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake busyglide sasaroo sore chillpal axiomatic url re undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake busyglide sasaroo sore chillpal axiomatic url re undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'busyglide', 'sasaroo', 'sore', 'chillpal', 'axiomatic', 'url', 're', 'undesirable', 'agreeable', 'encouraging', 'imperfect', 'roasted', 'insidious', 'modgone', 'quickest', 'trelod', 'keen', 'fresh', 'economic', 'bocilile']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'busyglide', 'sasaroo', 'sore', 'chillpal', 'axiomatic', 'url', 're', 'undesirable', 'agreeable', 'encouraging', 'imperfect', 'roasted', 'insidious', 'modgone', 'quickest', 'trelod', 'keen', 'fresh', 'economic', 'bocilile']","['check', 'extraordinary', 'website', 'called', 'url', 'money', 'online', 'start', 'working', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'busyglide', 'sasaroo', 'sore', 'chillpal', 'axiomatic', 'url', 'undesirable', 'agreeable', 'encouraging', 'imperfect', 'roasted', 'insidious', 'modgone', 'quickest', 'trelod', 'keen', 'fresh', 'economic', 'bocilile']","['check', 'extraordinary', 'website', 'call', 'url', 'money', 'online', 'start', 'work', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'busyglide', 'sasaroo', 'sore', 'chillpal', 'axiomatic', 'url', 'undesirable', 'agreeable', 'encourage', 'imperfect', 'roast', 'insidious', 'modgone', 'quick', 'trelod', 'keen', 'fresh', 'economic', 'bocilile']"
Sick Music for sick femalesï»¿,0,sick music for sick femalesï»¿,sick music for sick females,sick music for sick females,"['sick', 'music', 'for', 'sick', 'females']","['sick', 'music', 'for', 'sick', 'females']","['sick', 'music', 'sick', 'females']","['sick', 'music', 'sick', 'female']"
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",1,"you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . victorious . luxuriant . alcoholic . responsible . unbiased . yoffa . ociramma . ociramma . handsome . arrowgance . mizuxe . boaconic . sophisticated . ill-fated . spourmo . chubby . hioffpo . probable . singlewave",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated illfated spourmo chubby hioffpo probable singlewave,you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated illfated spourmo chubby hioffpo probable singlewave,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticated', 'illfated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticated', 'illfated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']","['check', 'extraordinary', 'website', 'called', 'url', 'money', 'online', 'start', 'working', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticated', 'illfated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']","['check', 'extraordinary', 'website', 'call', 'url', 'money', 'online', 'start', 'work', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticate', 'illfated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']"
LOVE TROP FORT VOTRE  clipï»¿,0,love trop fort votre  clipï»¿,love trop fort votre clip,love trop fort votre clip,"['love', 'trop', 'fort', 'votre', 'clip']","['love', 'trop', 'fort', 'votre', 'clip']","['love', 'trop', 'fort', 'votre', 'clip']","['love', 'trop', 'fort', 'votre', 'clip']"
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar",1,"you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . waratel . misty . exciting . swoquix . acaer . chillpal . tupacase . arrowgance . lively . hard . idiotic . bored . cool . ablaze . crabby . aloidia . cheilith . feandra . useless . ploosnar",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake waratel misty exciting swoquix acaer chillpal tupacase arrowgance lively url iotic url ol ablaze crabby aloidia cheilith feandra useless ploosnar,you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake waratel misty exciting swoquix acaer chillpal tupacase arrowgance lively url iotic url ol ablaze crabby aloidia cheilith feandra useless ploosnar,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'waratel', 'misty', 'exciting', 'swoquix', 'acaer', 'chillpal', 'tupacase', 'arrowgance', 'lively', 'url', 'iotic', 'url', 'ol', 'ablaze', 'crabby', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'waratel', 'misty', 'exciting', 'swoquix', 'acaer', 'chillpal', 'tupacase', 'arrowgance', 'lively', 'url', 'iotic', 'url', 'ol', 'ablaze', 'crabby', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']","['check', 'extraordinary', 'website', 'called', 'url', 'money', 'online', 'start', 'working', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'waratel', 'misty', 'exciting', 'swoquix', 'acaer', 'chillpal', 'tupacase', 'arrowgance', 'lively', 'url', 'iotic', 'url', 'ol', 'ablaze', 'crabby', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']","['check', 'extraordinary', 'website', 'call', 'url', 'money', 'online', 'start', 'work', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'waratel', 'misty', 'excite', 'swoquix', 'acaer', 'chillpal', 'tupacase', 'arrowgance', 'lively', 'url', 'iotic', 'url', 'ol', 'ablaze', 'crabby', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']"
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Ignorant . Wavefire . Reiltas . Astauand . Skizzle . Jovaphile . Swooflia . Grynn . Excellent . Slimy . Gabby . Nalpure . Lucky . Glozzom . Depressed . Better . Deep . Sinpad . Stereotyped . Toximble",1,"you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . ignorant . wavefire . reiltas . astauand . skizzle . jovaphile . swooflia . grynn . excellent . slimy . gabby . nalpure . lucky . glozzom . depressed . better . deep . sinpad . stereotyped . toximble",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over per month at url visit url and check it out lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depressed', 'better', 'deep', 'sinpad', 'stereotyped', 'toximble']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depressed', 'better', 'deep', 'sinpad', 'stereotyped', 'toximble']","['check', 'extraordinary', 'website', 'called', 'url', 'money', 'online', 'start', 'working', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depressed', 'better', 'deep', 'sinpad', 'stereotyped', 'toximble']","['check', 'extraordinary', 'website', 'call', 'url', 'money', 'online', 'start', 'work', 'home', 'today', 'month', 'url', 'visit', 'url', 'check', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depress', 'good', 'deep', 'sinpad', 'stereotype', 'toximble']"
Eminem et Rihana trop belle chansonï»¿,0,eminem et rihana trop belle chansonï»¿,eminem et rihana trop belle chanson,eminem et rihana trop belle chanson,"['eminem', 'et', 'rihana', 'trop', 'belle', 'chanson']","['eminem', 'et', 'rihana', 'trop', 'belle', 'chanson']","['eminem', 'et', 'rihana', 'trop', 'belle', 'chanson']","['eminem', 'et', 'rihana', 'trop', 'belle', 'chanson']"
this song is better then monster by eminemï»¿,0,this song is better then monster by eminemï»¿,this song is better then monster by eminem,this song is better then monster by eminem,"['this', 'song', 'is', 'better', 'then', 'monster', 'by', 'eminem']","['this', 'song', 'is', 'better', 'then', 'monster', 'by', 'eminem']","['song', 'better', 'monster', 'eminem']","['song', 'well', 'monster', 'eminem']"
He is good boy!!!<br />I am krean I like to eminem~!~ï»¿,0,he is good boy!!!<br />i am krean i like to eminem~!~ï»¿,he is good boy i am krean i like to eminem,he is good boy i am krean i like to eminem,"['he', 'is', 'good', 'boy', 'i', 'am', 'krean', 'i', 'like', 'to', 'eminem']","['he', 'is', 'good', 'boy', 'i', 'am', 'krean', 'i', 'like', 'to', 'eminem']","['good', 'boy', 'krean', 'like', 'eminem']","['good', 'boy', 'krean', 'like', 'eminem']"
it is wonderfulï»¿,0,it is wonderfulï»¿,it is wonderful,it is wonderful,"['it', 'is', 'wonderful']","['it', 'is', 'wonderful']",['wonderful'],['wonderful']
