CONTENT,CLASS,content_lower,normalized,content_rn,content_tokenized,content_filter,content_stopwords,content_stemm
Check Out The New Hot Video By Dante B Called Riled Up,1,check out the new hot video by dante b called riled up,check out the new hot video by dante b called riled up,check out the new hot video by dante b called riled up,"['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'b', 'called', 'riled', 'up']","['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'called', 'riled', 'up']","['check', 'new', 'hot', 'video', 'dante', 'called', 'riled']","['check', 'new', 'hot', 'video', 'dant', 'call', 'rile']"
I hate rap and I like this song﻿,0,i hate rap and i like this song﻿,i hate rap and i like this song﻿,i hate rap and i like this song,"['i', 'hate', 'rap', 'and', 'i', 'like', 'this', 'song']","['i', 'hate', 'rap', 'and', 'i', 'like', 'this', 'song']","['i', 'hate', 'rap', 'i', 'like', 'song']","['i', 'hate', 'rap', 'i', 'like', 'song']"
Love the way you lie - Driveshaft﻿,0,love the way you lie - driveshaft﻿,love the way you lie - driveshaft﻿,love the way you lie driveshaft,"['love', 'the', 'way', 'you', 'lie', 'driveshaft']","['love', 'the', 'way', 'you', 'lie', 'driveshaft']","['love', 'way', 'you', 'lie', 'driveshaft']","['love', 'way', 'you', 'lie', 'driveshaft']"
2010:(﻿,0,2010:(﻿,2010:(﻿,numeric,['numeric'],['numeric'],['numeric'],['numer']
"1,000,000 VIEWS NEAR﻿",0,"1,000,000 views near﻿","1,000,000 views near﻿",numeric views near,"['numeric', 'views', 'near']","['numeric', 'views', 'near']","['numeric', 'views', 'near']","['numer', 'view', 'near']"
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent",1,"you guys should check out this extraordinary website called firepa.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at firepa.com !   visit firepa.com and check it out!   lake   . chillpal . sturdy . astauand . johackle . chorenn . ethosien . changeable . public . noxu . ploosnar . looplab . hoppler . delicious . false . scitenoa . locobot . heartbreaking . thirsty . reminiscent","you guys should check out this extraordinary website called firepa.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at firepa.com !   visit firepa.com and check it out!   lake   . chillpal . sturdy . astauand . johackle . chorenn . ethosien . changeable . public . noxu . ploosnar . looplab . hoppler . delicious . false . scitenoa . locobot . heartbreaking . thirsty . reminiscent",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over numeric per month at url visit url and check it out lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'chillpal', 'sturdy', 'astauand', 'johackle', 'chorenn', 'ethosien', 'changeable', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delicious', 'false', 'scitenoa', 'locobot', 'heartbreaking', 'thirsty', 'reminiscent']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'chillpal', 'sturdy', 'astauand', 'johackle', 'chorenn', 'ethosien', 'changeable', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delicious', 'false', 'scitenoa', 'locobot', 'heartbreaking', 'thirsty', 'reminiscent']","['you', 'guys', 'should', 'check', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'i', 'i', 'making', 'numeric', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'chillpal', 'sturdy', 'astauand', 'johackle', 'chorenn', 'ethosien', 'changeable', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delicious', 'false', 'scitenoa', 'locobot', 'heartbreaking', 'thirsty', 'reminiscent']","['you', 'guy', 'should', 'check', 'extraordinari', 'websit', 'call', 'url', 'you', 'can', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'i', 'i', 'make', 'numer', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'chillpal', 'sturdi', 'astauand', 'johackl', 'chorenn', 'ethosien', 'changeabl', 'public', 'noxu', 'ploosnar', 'looplab', 'hoppler', 'delici', 'fals', 'scitenoa', 'locobot', 'heartbreak', 'thirsti', 'reminisc']"
this song is NICE﻿,0,this song is nice﻿,this song is nice﻿,this song is nice,"['this', 'song', 'is', 'nice']","['this', 'song', 'is', 'nice']","['song', 'nice']","['song', 'nice']"
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile",1,"you guys should check out this extraordinary website called firepa.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at firepa.com !   visit firepa.com and check it out!   lake   . busyglide . sasaroo . sore . chillpal . axiomatic . naperone . mere . undesirable . agreeable . encouraging . imperfect . roasted . insidious . modgone . quickest . trelod . keen . fresh . economic . bocilile","you guys should check out this extraordinary website called firepa.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at firepa.com !   visit firepa.com and check it out!   lake   . busyglide . sasaroo . sore . chillpal . axiomatic . naperone . mere . undesirable . agreeable . encouraging . imperfect . roasted . insidious . modgone . quickest . trelod . keen . fresh . economic . bocilile",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over numeric per month at url visit url and check it out lake busyglide sasaroo sore chillpal axiomatic naperone mere undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'busyglide', 'sasaroo', 'sore', 'chillpal', 'axiomatic', 'naperone', 'mere', 'undesirable', 'agreeable', 'encouraging', 'imperfect', 'roasted', 'insidious', 'modgone', 'quickest', 'trelod', 'keen', 'fresh', 'economic', 'bocilile']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'busyglide', 'sasaroo', 'sore', 'chillpal', 'axiomatic', 'naperone', 'mere', 'undesirable', 'agreeable', 'encouraging', 'imperfect', 'roasted', 'insidious', 'modgone', 'quickest', 'trelod', 'keen', 'fresh', 'economic', 'bocilile']","['you', 'guys', 'should', 'check', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'i', 'i', 'making', 'numeric', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'busyglide', 'sasaroo', 'sore', 'chillpal', 'axiomatic', 'naperone', 'mere', 'undesirable', 'agreeable', 'encouraging', 'imperfect', 'roasted', 'insidious', 'modgone', 'quickest', 'trelod', 'keen', 'fresh', 'economic', 'bocilile']","['you', 'guy', 'should', 'check', 'extraordinari', 'websit', 'call', 'url', 'you', 'can', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'i', 'i', 'make', 'numer', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'busyglid', 'sasaroo', 'sore', 'chillpal', 'axiomat', 'naperon', 'mere', 'undesir', 'agreeabl', 'encourag', 'imperfect', 'roast', 'insidi', 'modgon', 'quickest', 'trelod', 'keen', 'fresh', 'econom', 'bocilil']"
Sick Music for sick females﻿,0,sick music for sick females﻿,sick music for sick females﻿,sick music for sick females,"['sick', 'music', 'for', 'sick', 'females']","['sick', 'music', 'for', 'sick', 'females']","['sick', 'music', 'sick', 'females']","['sick', 'music', 'sick', 'femal']"
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",1,"you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . victorious . luxuriant . alcoholic . responsible . unbiased . yoffa . ociramma . ociramma . handsome . arrowgance . mizuxe . boaconic . sophisticated . ill-fated . spourmo . chubby . hioffpo . probable . singlewave","you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . victorious . luxuriant . alcoholic . responsible . unbiased . yoffa . ociramma . ociramma . handsome . arrowgance . mizuxe . boaconic . sophisticated . ill-fated . spourmo . chubby . hioffpo . probable . singlewave",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over numeric per month at url visit url and check it out lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated ill fated spourmo chubby hioffpo probable singlewave,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticated', 'ill', 'fated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticated', 'ill', 'fated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']","['you', 'guys', 'should', 'check', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'i', 'i', 'making', 'numeric', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'victorious', 'luxuriant', 'alcoholic', 'responsible', 'unbiased', 'yoffa', 'ociramma', 'ociramma', 'handsome', 'arrowgance', 'mizuxe', 'boaconic', 'sophisticated', 'ill', 'fated', 'spourmo', 'chubby', 'hioffpo', 'probable', 'singlewave']","['you', 'guy', 'should', 'check', 'extraordinari', 'websit', 'call', 'url', 'you', 'can', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'i', 'i', 'make', 'numer', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'victori', 'luxuri', 'alcohol', 'respons', 'unbias', 'yoffa', 'ociramma', 'ociramma', 'handsom', 'arrowg', 'mizux', 'boacon', 'sophist', 'ill', 'fate', 'spourmo', 'chubbi', 'hioffpo', 'probabl', 'singlewav']"
LOVE TROP FORT VOTRE  clip﻿,0,love trop fort votre  clip﻿,love trop fort votre  clip﻿,love trop fort votre clip,"['love', 'trop', 'fort', 'votre', 'clip']","['love', 'trop', 'fort', 'votre', 'clip']","['love', 'trop', 'fort', 'votre', 'clip']","['love', 'trop', 'fort', 'votr', 'clip']"
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar",1,"you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . waratel . misty . exciting . swoquix . acaer . chillpal . tupacase . arrowgance . lively . hard . idiotic . bored . cool . ablaze . crabby . aloidia . cheilith . feandra . useless . ploosnar","you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . waratel . misty . excite . swoquix . acaer . chillpal . tupacase . arrowgance . lively . hard . idiotic . bore . cool . ablaze . crabby . aloidia . cheilith . feandra . useless . ploosnar",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over numeric per month at url visit url and check it out lake waratel misty excite swoquix acaer chillpal tupacase arrowgance lively hard idiotic bore cool ablaze crabby aloidia cheilith feandra useless ploosnar,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'waratel', 'misty', 'excite', 'swoquix', 'acaer', 'chillpal', 'tupacase', 'arrowgance', 'lively', 'hard', 'idiotic', 'bore', 'cool', 'ablaze', 'crabby', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'waratel', 'misty', 'excite', 'swoquix', 'acaer', 'chillpal', 'tupacase', 'arrowgance', 'lively', 'hard', 'idiotic', 'bore', 'cool', 'ablaze', 'crabby', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']","['you', 'guys', 'should', 'check', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'i', 'i', 'making', 'numeric', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'waratel', 'misty', 'excite', 'swoquix', 'acaer', 'chillpal', 'tupacase', 'arrowgance', 'lively', 'hard', 'idiotic', 'bore', 'cool', 'ablaze', 'crabby', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']","['you', 'guy', 'should', 'check', 'extraordinari', 'websit', 'call', 'url', 'you', 'can', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'i', 'i', 'make', 'numer', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'waratel', 'misti', 'excit', 'swoquix', 'acaer', 'chillpal', 'tupacas', 'arrowg', 'live', 'hard', 'idiot', 'bore', 'cool', 'ablaz', 'crabbi', 'aloidia', 'cheilith', 'feandra', 'useless', 'ploosnar']"
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Ignorant . Wavefire . Reiltas . Astauand . Skizzle . Jovaphile . Swooflia . Grynn . Excellent . Slimy . Gabby . Nalpure . Lucky . Glozzom . Depressed . Better . Deep . Sinpad . Stereotyped . Toximble",1,"you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . ignorant . wavefire . reiltas . astauand . skizzle . jovaphile . swooflia . grynn . excellent . slimy . gabby . nalpure . lucky . glozzom . depressed . better . deep . sinpad . stereotyped . toximble","you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . ignorant . wavefire . reiltas . astauand . skizzle . jovaphile . swooflia . grynn . excellent . slimy . gabby . nalpure . lucky . glozzom . depress . better . deep . sinpad . stereotyped . toximble",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over numeric per month at url visit url and check it out lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depress better deep sinpad stereotyped toximble,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depress', 'better', 'deep', 'sinpad', 'stereotyped', 'toximble']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depress', 'better', 'deep', 'sinpad', 'stereotyped', 'toximble']","['you', 'guys', 'should', 'check', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'i', 'i', 'making', 'numeric', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'ignorant', 'wavefire', 'reiltas', 'astauand', 'skizzle', 'jovaphile', 'swooflia', 'grynn', 'excellent', 'slimy', 'gabby', 'nalpure', 'lucky', 'glozzom', 'depress', 'better', 'deep', 'sinpad', 'stereotyped', 'toximble']","['you', 'guy', 'should', 'check', 'extraordinari', 'websit', 'call', 'url', 'you', 'can', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'i', 'i', 'make', 'numer', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'ignor', 'wavefir', 'reilta', 'astauand', 'skizzl', 'jovaphil', 'swooflia', 'grynn', 'excel', 'slimi', 'gabbi', 'nalpur', 'lucki', 'glozzom', 'depress', 'better', 'deep', 'sinpad', 'stereotyp', 'toximbl']"
Eminem et Rihana trop belle chanson﻿,0,eminem et rihana trop belle chanson﻿,eminem et rihanna trop belle chanson﻿,eminem et rihanna trop belle chanson,"['eminem', 'et', 'rihanna', 'trop', 'belle', 'chanson']","['eminem', 'rihanna', 'trop', 'belle', 'chanson']","['eminem', 'rihanna', 'trop', 'belle', 'chanson']","['eminem', 'rihanna', 'trop', 'bell', 'chanson']"
this song is better then monster by eminem﻿,0,this song is better then monster by eminem﻿,this song is better then monster by eminem﻿,this song is better then monster by eminem,"['this', 'song', 'is', 'better', 'then', 'monster', 'by', 'eminem']","['this', 'song', 'is', 'better', 'then', 'monster', 'by', 'eminem']","['song', 'better', 'monster', 'eminem']","['song', 'better', 'monster', 'eminem']"
He is good boy!!!<br />I am krean I like to eminem~!~﻿,0,he is good boy!!!<br />i am krean i like to eminem~!~﻿,he is good boy!!!<br />i am krean i like to eminem~!~﻿,he is good boy i am krean i like to eminem,"['he', 'is', 'good', 'boy', 'i', 'am', 'krean', 'i', 'like', 'to', 'eminem']","['he', 'is', 'good', 'boy', 'i', 'am', 'krean', 'i', 'like', 'to', 'eminem']","['good', 'boy', 'i', 'krean', 'i', 'like', 'eminem']","['good', 'boy', 'i', 'krean', 'i', 'like', 'eminem']"
it is wonderful﻿,0,it is wonderful﻿,it is wonderful﻿,it is wonderful,"['it', 'is', 'wonderful']","['it', 'is', 'wonderful']",['wonderful'],['wonder']
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1,"you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . magnificent . noodile . unequaled . moderock . gogopo . lulerain . olielle . zesty . laughable . accidental . pepelexa . delightful . wiry . toogit . uncovered . chesture . woozy . adhoc . weak . shallow","you guys should check out this extraordinary website called moneygq.com .   you can make money online and start working from home today as i am!   i am making over $3,000+ per month at moneygq.com !   visit moneygq.com and check it out!   lake   . magnificent . noodile . unequaled . moderock . gogopo . lulerain . olielle . zesty . laughable . accidental . pepelexa . delightful . wiry . toogit . uncovered . chesture . woozy . adhoc . weak . shallow",you guys should check out this extraordinary website called url you can make money online and start working from home today as i am i am making over numeric per month at url visit url and check it out lake magnificent noodile unequaled moderock gogopo lulerain olielle zesty laughable accidental pepelexa delightful wiry toogit uncovered chesture woozy adhoc weak shallow,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'magnificent', 'noodile', 'unequaled', 'moderock', 'gogopo', 'lulerain', 'olielle', 'zesty', 'laughable', 'accidental', 'pepelexa', 'delightful', 'wiry', 'toogit', 'uncovered', 'chesture', 'woozy', 'adhoc', 'weak', 'shallow']","['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', 'i', 'am', 'making', 'over', 'numeric', 'per', 'month', 'at', 'url', 'visit', 'url', 'and', 'check', 'it', 'out', 'lake', 'magnificent', 'noodile', 'unequaled', 'moderock', 'gogopo', 'lulerain', 'olielle', 'zesty', 'laughable', 'accidental', 'pepelexa', 'delightful', 'wiry', 'toogit', 'uncovered', 'chesture', 'woozy', 'adhoc', 'weak', 'shallow']","['you', 'guys', 'should', 'check', 'extraordinary', 'website', 'called', 'url', 'you', 'can', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'i', 'i', 'making', 'numeric', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'magnificent', 'noodile', 'unequaled', 'moderock', 'gogopo', 'lulerain', 'olielle', 'zesty', 'laughable', 'accidental', 'pepelexa', 'delightful', 'wiry', 'toogit', 'uncovered', 'chesture', 'woozy', 'adhoc', 'weak', 'shallow']","['you', 'guy', 'should', 'check', 'extraordinari', 'websit', 'call', 'url', 'you', 'can', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'i', 'i', 'make', 'numer', 'per', 'month', 'url', 'visit', 'url', 'check', 'lake', 'magnific', 'noodil', 'unequ', 'moderock', 'gogopo', 'lulerain', 'oliell', 'zesti', 'laughabl', 'accident', 'pepelexa', 'delight', 'wiri', 'toogit', 'uncov', 'chestur', 'woozi', 'adhoc', 'weak', 'shallow']"
Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem,1,share eminem&#39;s artist of the year video so he can win. we could see a performance and acceptance speech. like this comment so everyone can see.  2014 =  year of eminem,share eminem&#39;s artist of the year video so he can win. we could see a performance and acceptance speech. like this comment so everyone can see.  2014 =  year of eminem,share eminem s artist of the year video so he can win we could see a performance and acceptance speech like this comment so everyone can see numeric year of eminem,"['share', 'eminem', 's', 'artist', 'of', 'the', 'year', 'video', 'so', 'he', 'can', 'win', 'we', 'could', 'see', 'a', 'performance', 'and', 'acceptance', 'speech', 'like', 'this', 'comment', 'so', 'everyone', 'can', 'see', 'numeric', 'year', 'of', 'eminem']","['share', 'eminem', 'artist', 'of', 'the', 'year', 'video', 'so', 'he', 'can', 'win', 'we', 'could', 'see', 'a', 'performance', 'and', 'acceptance', 'speech', 'like', 'this', 'comment', 'so', 'everyone', 'can', 'see', 'numeric', 'year', 'of', 'eminem']","['share', 'eminem', 'artist', 'year', 'video', 'so', 'can', 'win', 'could', 'see', 'performance', 'acceptance', 'speech', 'like', 'comment', 'so', 'everyone', 'can', 'see', 'numeric', 'year', 'eminem']","['share', 'eminem', 'artist', 'year', 'video', 'so', 'can', 'win', 'could', 'see', 'perform', 'accept', 'speech', 'like', 'comment', 'so', 'everyon', 'can', 'see', 'numer', 'year', 'eminem']"
watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA,1,watch?v=arkglzjqup0 like this comment and share this video so em can win!!! #ytma,watch?v=arkglzjqup0 like this comment and share this video so em can win!!! #ytma,url like this comment and share this video so em can win ytma,"['url', 'like', 'this', 'comment', 'and', 'share', 'this', 'video', 'so', 'em', 'can', 'win', 'ytma']","['url', 'like', 'this', 'comment', 'and', 'share', 'this', 'video', 'so', 'can', 'win', 'ytma']","['url', 'like', 'comment', 'share', 'video', 'so', 'can', 'win', 'ytma']","['url', 'like', 'comment', 'share', 'video', 'so', 'can', 'win', 'ytma']"
Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿,1,check out this video on youtube:<br /><br />eminem is amazing. ﻿,check out this video on youtube:<br /><br />eminem is amaze. ﻿,check out this video on youtube eminem is amaze,"['check', 'out', 'this', 'video', 'on', 'youtube', 'eminem', 'is', 'amaze']","['check', 'out', 'this', 'video', 'on', 'youtube', 'eminem', 'is', 'amaze']","['check', 'video', 'youtube', 'eminem', 'amaze']","['check', 'video', 'youtub', 'eminem', 'amaz']"
awesome song ever﻿,0,awesome song ever﻿,awesome song ever﻿,awesome song ever,"['awesome', 'song', 'ever']","['awesome', 'song', 'ever']","['awesome', 'song', 'ever']","['awesom', 'song', 'ever']"
love﻿,0,love﻿,love﻿,love,['love'],['love'],['love'],['love']
